City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,79.21,broken clouds,-9.8,-139.0333,Villa Enata
2,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
4,Rikitea,PF,76.06,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Holetown,BB,79.36,broken clouds,13.1867,-59.6381,The Palms Resort
7,Mazagao,BR,86.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
9,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
13,Marsh Harbour,BS,77.54,clear sky,26.5412,-77.0636,Abaco Beach Resort
21,Ouesso,CG,75.31,overcast clouds,1.6136,16.0517,ABENIE Hotel
22,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
23,Sao Filipe,CV,75.6,overcast clouds,14.8961,-24.4956,Hotel Xaguate
25,Kavieng,PG,82.78,light rain,-2.5744,150.7967,Nusa Island Retreat
45,Lazaro Cardenas,MX,83.62,broken clouds,17.9583,-102.2,quinta antigua
47,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
52,Lorengau,PG,81.79,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
53,Boyolangu,ID,75.72,overcast clouds,-8.1181,111.8935,Yos ega cv
55,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Nioro,GM,76.53,overcast clouds,13.35,-15.75,
69,Bambanglipuro,ID,75.81,overcast clouds,-7.95,110.2833,Puri Brata
72,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
79,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Lagunas,PE,83.3,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
82,Cantaura,VE,79.29,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
83,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
87,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
90,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
91,Teshie,GH,84.76,clear sky,5.5836,-0.1072,Adinkra Lodge
94,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
97,Sola,VU,79.47,light rain,-13.8833,167.55,Leumerus Bungalows
98,Tayu,ID,77.22,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
105,Soyo,AO,78.93,overcast clouds,-6.1349,12.3689,Hotel Mpampa
112,Noumea,NC,87.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
118,Hithadhoo,MV,80.49,scattered clouds,-0.6,73.0833,Scoop Guest House
123,Hilo,US,77.11,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
124,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
125,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Makakilo City,US,79.68,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
128,Vao,NC,78.84,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
129,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
132,Nicoya,CR,89.15,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
133,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
