City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,-43.65,100,58,4.36,broken clouds
1,Atuona,PF,-9.8,-139.0333,79.21,71,66,17.92,broken clouds
2,Isabela,PH,6.7085,121.9711,77.05,88,89,4.88,overcast clouds
3,Hobart,AU,-42.8794,147.3294,56.26,68,75,5.75,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.06,75,92,16.13,overcast clouds
5,Holetown,BB,13.1867,-59.6381,79.36,80,80,19.35,broken clouds
6,Camacha,PT,33.0833,-16.3333,61.54,88,40,12.66,drizzle
7,Mazagao,BR,-0.115,-51.2894,86.05,74,58,6.33,broken clouds
8,Tiksi,RU,71.6872,128.8694,-13.25,98,100,4.25,overcast clouds
9,Avarua,CK,-21.2078,-159.775,80.65,74,20,16.11,light rain
10,Antofagasta,CL,-23.65,-70.4,67.28,68,4,7.52,clear sky
11,Bluff,NZ,-46.6,168.3333,56.8,56,62,7.14,broken clouds
12,Mataura,NZ,-46.1927,168.8643,56.48,41,32,3.38,scattered clouds
13,Marsh Harbour,BS,26.5412,-77.0636,77.54,70,1,9.01,clear sky
14,Beyneu,KZ,45.3167,55.2,33.4,83,71,10.31,broken clouds
15,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,63,75,24.16,light rain
16,Ponta Do Sol,PT,32.6667,-17.1,65.01,76,64,5.06,broken clouds
17,Yellowknife,CA,62.456,-114.3525,3.42,91,75,16.11,light snow
18,Poysdorf,AT,48.6667,16.6333,35.94,86,97,12.55,overcast clouds
19,San Quintin,MX,30.4833,-115.95,63.1,55,0,9.69,clear sky
20,Ushuaia,AR,-54.8,-68.3,60.46,51,75,4.61,broken clouds
21,Ouesso,CG,1.6136,16.0517,75.31,57,100,1.74,overcast clouds
22,Kahului,US,20.8947,-156.47,80.62,76,20,25.32,few clouds
23,Sao Filipe,CV,14.8961,-24.4956,75.6,70,96,8.61,overcast clouds
24,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-3.93,95,80,7.87,broken clouds
25,Kavieng,PG,-2.5744,150.7967,82.78,80,98,8.41,light rain
26,Jand,PK,33.4299,72.0193,53.71,20,96,4.21,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,39.36,65,100,36.78,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,59.11,51,40,8.05,scattered clouds
29,Torbay,CA,47.6666,-52.7314,36.57,93,90,10.36,light rain
30,Barrow,US,71.2906,-156.7887,-0.38,71,90,11.5,overcast clouds
31,Fort Beaufort,ZA,-32.7748,26.6338,66.0,93,100,4.85,overcast clouds
32,Lalibela,ET,12.0333,39.0333,53.96,37,0,6.51,clear sky
33,Marshalltown,US,42.0494,-92.908,41.04,69,1,16.11,clear sky
34,Broken Hill,AU,-31.95,141.4333,71.31,30,0,9.22,clear sky
35,Aleksandrov Gay,RU,50.147,48.5704,23.05,70,3,11.12,clear sky
36,Qaqortoq,GL,60.7167,-46.0333,21.7,86,100,1.63,overcast clouds
37,Sukhinichi,RU,54.0999,35.3425,24.03,92,100,9.66,snow
38,Ambilobe,MG,-13.2,49.05,72.66,73,74,4.12,broken clouds
39,Las Vegas,US,36.175,-115.1372,52.27,23,1,3.44,clear sky
40,Biu,NG,10.6129,12.1946,70.66,26,17,7.16,few clouds
41,Albany,US,42.6001,-73.9662,61.81,91,100,13.27,overcast clouds
42,Lasa,IT,46.6166,10.7002,31.91,90,47,8.77,scattered clouds
43,Busselton,AU,-33.65,115.3333,56.08,74,61,13.94,broken clouds
44,San Joaquin,US,37.9333,-121.3011,60.37,51,1,5.75,clear sky
45,Lazaro Cardenas,MX,17.9583,-102.2,83.62,63,73,7.4,broken clouds
46,East London,ZA,-33.0153,27.9116,70.48,83,99,6.35,overcast clouds
47,Georgetown,MY,5.4112,100.3354,79.9,81,20,1.01,few clouds
48,Marzuq,YE,14.4,46.4667,58.03,48,0,2.59,clear sky
49,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,87,34,15.68,scattered clouds
50,Castro,BR,-24.7911,-50.0119,71.29,49,100,4.76,overcast clouds
51,Moberly,US,39.4184,-92.4382,47.62,35,1,18.41,clear sky
52,Lorengau,PG,-2.0226,147.2712,81.79,84,100,17.54,moderate rain
53,Boyolangu,ID,-8.1181,111.8935,75.72,88,97,3.76,overcast clouds
54,Pevek,RU,69.7008,170.3133,-33.5,100,85,6.13,overcast clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,99,8.08,overcast clouds
56,Kasongo-Lunda,CD,-6.4667,16.8167,71.58,98,100,0.11,overcast clouds
57,Vangaindrano,MG,-23.35,47.6,74.25,89,93,6.67,light rain
58,Central Point,US,42.376,-122.9164,48.42,82,90,1.01,overcast clouds
59,Faya,SA,18.3851,42.4509,50.11,41,2,3.15,clear sky
60,Port Elizabeth,ZA,-33.918,25.5701,66.09,81,90,4.5,overcast clouds
61,Monastyrshchina,RU,54.3496,31.838,29.35,96,100,12.73,snow
62,Ambanja,MG,-13.6833,48.45,74.88,86,99,2.51,overcast clouds
63,Mar Del Plata,AR,-38.0023,-57.5575,69.82,90,20,24.0,few clouds
64,Necochea,AR,-38.5473,-58.7368,68.11,84,71,10.87,broken clouds
65,Tres Barras,BR,-26.1064,-50.3222,70.93,61,100,1.86,overcast clouds
66,Casper,US,42.8666,-106.3131,31.5,62,1,35.99,haze
67,Najran,SA,17.4924,44.1277,52.45,53,5,0.38,clear sky
68,Nioro,GM,13.35,-15.75,76.53,53,100,6.38,overcast clouds
69,Bambanglipuro,ID,-7.95,110.2833,75.81,91,100,4.16,overcast clouds
70,Dikson,RU,73.5069,80.5464,-15.03,82,100,6.33,overcast clouds
71,Bredasdorp,ZA,-34.5322,20.0403,59.29,71,42,2.91,scattered clouds
72,Puerto Carreno,CO,6.189,-67.4859,89.58,55,40,11.5,scattered clouds
73,Nikolskoye,RU,59.7035,30.7861,26.49,88,100,9.44,overcast clouds
74,Hermanus,ZA,-34.4187,19.2345,61.9,77,91,7.29,overcast clouds
75,Cape Town,ZA,-33.9258,18.4232,64.09,80,20,8.05,few clouds
76,Upernavik,GL,72.7868,-56.1549,3.47,91,100,9.71,overcast clouds
77,Chuy,UY,-33.6971,-53.4616,66.97,71,1,10.09,clear sky
78,Jamestown,US,42.097,-79.2353,42.39,88,90,18.01,overcast clouds
79,Souillac,MU,-20.5167,57.5167,78.37,83,40,11.5,scattered clouds
80,Lagunas,PE,-5.2269,-75.6753,83.3,73,91,1.41,overcast clouds
81,Kaka,TM,37.3482,59.6143,46.67,71,0,3.58,clear sky
82,Cantaura,VE,9.3057,-64.3584,79.29,68,100,3.0,overcast clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,78,0,13.8,clear sky
84,Zavitinsk,RU,50.1167,129.45,8.8,96,100,6.69,overcast clouds
85,Vaini,TO,-21.2,-175.2,82.56,83,40,4.61,scattered clouds
86,Stephenville,US,32.2207,-98.2023,53.94,30,1,5.75,clear sky
87,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,0,17.76,clear sky
88,Irkutsk,RU,52.2978,104.2964,11.17,85,0,6.71,clear sky
89,Mount Gambier,AU,-37.8333,140.7667,57.11,77,13,10.36,few clouds
90,Boa Vista,BR,2.8197,-60.6733,80.58,83,75,6.91,light rain
91,Teshie,GH,5.5836,-0.1072,84.76,79,0,9.22,clear sky
92,New Norfolk,AU,-42.7826,147.0587,55.92,58,17,1.01,few clouds
93,Ballina,AU,-28.8667,153.5667,68.77,85,90,6.91,overcast clouds
94,Isangel,VU,-19.55,169.2667,84.31,84,75,5.75,broken clouds
95,Juneau,US,58.3019,-134.4197,25.84,96,75,0.0,fog
96,Rochegda,RU,62.8,43.25,9.0,91,96,7.36,overcast clouds
97,Sola,VU,-13.8833,167.55,79.47,100,75,0.0,light rain
98,Tayu,ID,-6.5397,111.0518,77.22,90,100,4.27,overcast clouds
99,Iqaluit,CA,63.7506,-68.5145,-11.31,69,40,4.0,scattered clouds
100,Abu Dhabi,AE,24.4667,54.3667,73.96,66,20,5.75,few clouds
101,Saskylakh,RU,71.9167,114.0833,-41.75,100,99,2.19,overcast clouds
102,Lebu,CL,-37.6167,-73.65,57.67,72,1,8.34,clear sky
103,Sibiti,CG,-3.6819,13.3499,70.03,98,100,2.57,light rain
104,Grindavik,IS,63.8424,-22.4338,43.27,87,75,16.11,broken clouds
105,Soyo,AO,-6.1349,12.3689,78.93,89,91,3.56,overcast clouds
106,Andenes,NO,69.3143,16.1194,29.07,80,75,8.05,broken clouds
107,Kenai,US,60.5544,-151.2583,12.25,75,40,13.8,mist
108,Vardo,NO,70.3705,31.1107,28.4,82,47,14.85,scattered clouds
109,Sinop,TR,41.7711,34.8709,48.61,64,100,11.41,overcast clouds
110,Hofn,IS,64.2539,-15.2082,42.04,92,100,24.54,light rain
111,Nenjiang,CN,49.1833,125.2167,10.56,92,100,11.41,overcast clouds
112,Noumea,NC,-22.2763,166.4572,87.78,99,77,0.96,broken clouds
113,Turukhansk,RU,65.8167,87.9833,-11.87,91,81,6.53,broken clouds
114,Vestmannaeyjar,IS,63.4427,-20.2734,44.33,84,93,27.22,overcast clouds
115,Vinh,VN,18.6667,105.6667,65.03,94,53,6.91,broken clouds
116,Longyearbyen,SJ,78.2186,15.6401,28.24,64,75,11.5,broken clouds
117,Indian Head,US,38.6001,-77.1622,70.14,75,90,3.0,light rain
118,Hithadhoo,MV,-0.6,73.0833,80.49,79,48,6.64,scattered clouds
119,Sur,OM,22.5667,59.5289,69.01,63,0,3.09,clear sky
120,Chernushka,RU,56.5072,56.0766,8.15,92,99,6.17,overcast clouds
121,Qaanaaq,GL,77.484,-69.3632,-3.35,65,11,7.31,few clouds
122,Cidreira,BR,-30.1811,-50.2056,69.48,74,4,8.52,clear sky
123,Hilo,US,19.7297,-155.09,77.11,48,90,6.91,light rain
124,Hambantota,LK,6.1241,81.1185,77.34,100,0,4.61,clear sky
