City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-12-11 16:31:32,38.5167,-28.7,66.6,82,40,18.41
1,Charters Towers,AU,2021-12-11 16:31:33,-20.1,146.2667,76.91,74,40,9.17
2,Port Hedland,AU,2021-12-11 16:31:33,-20.3167,118.5667,82.45,78,20,5.75
3,Qasigiannguit,GL,2021-12-11 16:31:33,68.8193,-51.1922,25.05,81,100,4.56
4,Kapaa,US,2021-12-11 16:27:44,22.0752,-159.319,75.52,80,40,14.97
5,Port Elizabeth,ZA,2021-12-11 16:31:34,-33.918,25.5701,68.09,88,75,12.66
6,Albany,US,2021-12-11 16:26:46,42.6001,-73.9662,54.63,93,100,1.01
7,Kanigiri,IN,2021-12-11 16:31:34,15.4,79.5167,73.96,87,0,2.51
8,Cayenne,GF,2021-12-11 16:28:25,4.9333,-52.3333,86.04,85,75,4.0
9,Nebbi,UG,2021-12-11 16:31:35,2.4783,31.0889,75.78,52,53,6.24
10,Dargaville,NZ,2021-12-11 16:31:35,-35.9333,173.8833,66.47,95,100,3.87
11,Kollegal,IN,2021-12-11 16:31:35,12.15,77.1167,68.18,91,16,4.09
12,Puerto Escondido,MX,2021-12-11 16:31:36,15.85,-97.0667,85.33,64,39,5.08
13,Codrington,AU,2021-12-11 16:31:36,-38.2667,141.9667,49.41,92,46,10.83
14,Mataura,NZ,2021-12-11 16:31:36,-46.1927,168.8643,44.47,81,28,1.48
15,Husavik,IS,2021-12-11 16:31:37,66.0449,-17.3389,40.91,84,99,14.32
16,Carnarvon,AU,2021-12-11 16:31:37,-24.8667,113.6333,69.87,73,40,19.57
17,Itarema,BR,2021-12-11 16:31:37,-2.9248,-39.9167,88.54,54,26,16.98
18,Busselton,AU,2021-12-11 16:31:38,-33.65,115.3333,56.08,83,49,12.19
19,Port Alfred,ZA,2021-12-11 16:31:38,-33.5906,26.891,70.72,86,48,6.11
20,Tukrah,LY,2021-12-11 16:31:38,32.5341,20.5791,61.56,53,0,21.41
21,Maceio,BR,2021-12-11 16:31:30,-9.6658,-35.7353,89.04,58,75,17.27
22,Upernavik,GL,2021-12-11 16:31:39,72.7868,-56.1549,0.75,93,100,11.45
23,Punta Arenas,CL,2021-12-11 16:31:39,-53.15,-70.9167,55.42,71,75,6.91
24,Mporokoso,ZM,2021-12-11 16:31:40,-9.3727,30.125,75.0,44,86,5.14
25,Marawi,PH,2021-12-11 16:27:52,7.9986,124.2928,68.65,96,86,1.12
26,La Palma,US,2021-12-11 16:31:40,33.8464,-118.0467,60.91,51,1,1.01
27,Nikolskoye,RU,2021-12-11 16:31:40,59.7035,30.7861,23.4,92,100,10.0
28,Pevek,RU,2021-12-11 16:31:41,69.7008,170.3133,-27.98,97,99,6.44
29,Cherskiy,RU,2021-12-11 16:31:41,68.75,161.3,-44.21,100,69,4.41
30,Rikitea,PF,2021-12-11 16:31:41,-23.1203,-134.9692,75.34,74,100,14.52
31,Arraial Do Cabo,BR,2021-12-11 16:31:42,-22.9661,-42.0278,87.76,69,0,12.66
32,Chapais,CA,2021-12-11 16:31:42,49.7834,-74.8492,17.38,95,100,16.49
33,Luzhou,CN,2021-12-11 16:27:59,28.8724,105.4405,50.79,89,100,4.65
34,Hithadhoo,MV,2021-12-11 16:31:43,-0.6,73.0833,80.44,80,63,11.56
35,Urumqi,CN,2021-12-11 16:31:43,43.801,87.6005,0.55,85,75,4.47
36,Lebu,CL,2021-12-11 16:31:43,-37.6167,-73.65,58.15,62,91,4.45
37,Dhidhdhoo,MV,2021-12-11 16:31:44,6.8833,73.1,82.13,72,21,8.63
38,Wilmington,US,2021-12-11 16:31:25,34.2257,-77.9447,77.0,76,20,17.27
39,Kavieng,PG,2021-12-11 16:31:44,-2.5744,150.7967,83.61,78,98,10.54
40,Outlook,CA,2021-12-11 16:31:44,51.5001,-107.0513,24.49,71,42,15.37
41,Bethel,US,2021-12-11 16:31:45,41.3712,-73.414,57.09,93,90,1.01
42,Poum,NC,2021-12-11 16:31:45,-20.2333,164.0167,81.68,78,100,14.72
43,Gat,IL,2021-12-11 16:32:45,31.61,34.7642,67.41,43,5,3.98
44,Camacha,PT,2021-12-11 16:32:46,33.0833,-16.3333,65.53,88,40,10.36
45,Thompson,CA,2021-12-11 16:32:46,55.7435,-97.8558,-11.04,84,20,5.75
46,Kruisfontein,ZA,2021-12-11 16:32:46,-34.0033,24.7314,65.88,71,73,7.02
47,Fukue,JP,2021-12-11 16:32:47,32.6881,128.8419,58.12,69,100,15.08
48,Torbay,CA,2021-12-11 16:30:20,47.6666,-52.7314,32.29,86,90,10.36
49,Qaanaaq,GL,2021-12-11 16:32:47,77.484,-69.3632,-4.0,66,36,6.38
50,Hobart,AU,2021-12-11 16:28:20,-42.8794,147.3294,50.05,78,90,0.0
51,Murray Bridge,AU,2021-12-11 16:31:11,-35.1167,139.2667,70.43,64,37,2.39
52,Victoria,HK,2021-12-11 16:27:59,22.2855,114.1577,69.94,84,1,8.01
53,Hermanus,ZA,2021-12-11 16:32:48,-34.4187,19.2345,69.91,70,70,19.37
54,Lazaro Cardenas,MX,2021-12-11 16:32:48,17.9583,-102.2,82.35,66,96,6.53
55,Kahului,US,2021-12-11 16:32:48,20.8947,-156.47,73.42,86,20,16.11
